"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2024","1","0","3","1"
"13604","Syria","Government of Syria","118","","IS","234","","1","Islamic State","2013","2","1","3","2"
"13604","Syria","Government of Syria","118","","IS","234","","1","Islamic State","2014","2","1","3","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2015","2","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2016","2","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2017","2","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2018","2","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2019","1","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2020","2","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2021","1","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2022","1","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2023","1","1","4","2"
"13604","Syria","Government of Syria","118","Government of Iran, Government of Russia (Soviet Union)","IS","234","","1","Islamic State","2024","1","1","4","2"
"13611","Mali","Government of Mali","72","","FLM","6267","","1","Macina Empire","2015","1","0","3","4"
"13637","Afghanistan","Government of Afghanistan","130","Government of Pakistan, Government of United States of America","IS","234","","1","Islamic State","2015","1","0","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of Pakistan, Government of United States of America","IS","234","","1","Islamic State","2016","2","1","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of United States of America","IS","234","","1","Islamic State","2017","2","1","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of United States of America","IS","234","","1","Islamic State","2018","2","1","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of United States of America","IS","234","","1","Islamic State","2019","2","1","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of United States of America","IS","234","","1","Islamic State","2020","1","1","4","3"
"13637","Afghanistan","Government of Afghanistan","130","Government of United States of America","IS","234","","1","Islamic State","2021","1","1","4","3"
